Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dean Wade,PF,24,CLE,29,5,11.5,1.1,2.7,.423,0.8,1.9,.400,0.4,0.8,.478,.564,0.3,0.4,.667,0.5,1.6,2.1,0.7,0.2,0.3,0.4,0.8,3.3
Moritz Wagner,C,23,WAS,24,13,14.7,2.5,4.9,.500,0.5,1.7,.300,2.0,3.3,.603,.551,1.5,2.0,.771,0.5,2.5,3.0,1.2,0.9,0.3,0.8,2.4,7.0
Kemba Walker,PG,30,BOS,21,21,30.2,6.1,15.7,.389,2.9,8.0,.357,3.2,7.7,.422,.480,3.0,3.3,.914,0.4,3.2,3.6,4.4,1.0,0.4,2.2,1.3,18.1
Lonnie Walker,SG,22,SAS,32,27,26.9,4.2,10.4,.404,1.8,4.9,.359,2.4,5.5,.443,.488,1.0,1.3,.780,0.2,2.7,2.9,1.7,0.5,0.4,1.1,2.1,11.1
John Wall,PG,30,HOU,25,25,31.7,7.5,17.7,.424,2.0,6.0,.340,5.5,11.7,.468,.482,4.0,5.3,.744,0.4,2.8,3.2,6.0,0.9,0.7,3.3,1.2,21.0
Brad Wanamaker,PG,31,GSW,37,0,16.2,1.6,4.4,.358,0.4,1.5,.232,1.2,2.9,.425,.398,1.3,1.5,.891,0.2,1.5,1.7,2.7,0.7,0.2,0.9,1.4,4.8
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
P.J. Washington,PF,22,CHO,33,33,29.3,4.4,9.8,.451,1.4,3.6,.390,3.0,6.2,.485,.522,2.4,3.0,.798,1.5,4.9,6.4,2.9,1.1,1.2,2.2,2.7,12.6
Yuta Watanabe,SF,26,TOR,24,1,12.0,0.9,2.8,.318,0.5,1.5,.371,0.3,1.3,.258,.417,0.4,0.4,.900,0.8,2.3,3.1,0.4,0.4,0.5,0.3,1.0,2.7
Tremont Waters,PG,23,BOS,10,1,9.8,1.0,3.1,.323,0.6,1.5,.400,0.4,1.6,.250,.419,0.7,0.8,.875,0.2,0.6,0.8,3.0,0.6,0.0,1.3,0.6,3.3
Paul Watson,SF,26,TOR,18,0,6.8,0.9,2.0,.444,0.7,1.5,.444,0.2,0.5,.444,.611,0.0,0.0,,0.1,1.0,1.1,0.3,0.2,0.1,0.1,0.7,2.4
Quinndary Weatherspoon,SG,24,SAS,5,0,4.8,0.2,1.0,.200,0.0,0.2,.000,0.2,0.8,.250,.200,0.4,0.4,1.000,0.0,0.4,0.4,0.6,0.2,0.0,1.2,1.4,0.8
Russell Westbrook,PG,32,WAS,30,30,34.4,8.2,18.8,.439,1.2,4.0,.308,7.0,14.8,.474,.472,3.4,6.0,.572,1.6,7.8,9.4,9.8,1.2,0.3,4.7,2.9,21.1
Coby White,PG,20,CHI,36,36,33.0,5.9,14.1,.415,2.4,6.8,.357,3.4,7.3,.470,.501,1.9,2.1,.896,0.5,4.4,4.9,5.0,0.4,0.1,2.3,2.6,16.1
Derrick White,SG,26,SAS,10,6,24.1,4.2,10.6,.396,1.7,5.2,.327,2.5,5.4,.463,.476,1.6,2.0,.800,0.1,1.4,1.5,3.4,0.8,0.9,1.2,2.3,11.7
Hassan Whiteside,C,31,SAC,23,1,14.6,3.5,6.0,.580,0.0,0.0,.000,3.5,6.0,.584,.580,1.3,2.4,.545,1.6,4.2,5.7,0.5,0.3,1.3,1.0,1.8,8.3
Greg Whittington,PF,27,DEN,3,0,3.7,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,PF,25,GSW,38,38,32.1,6.5,14.0,.462,1.7,5.0,.349,4.7,9.1,.523,.523,2.3,3.3,.683,1.1,3.5,4.6,2.2,0.8,1.1,1.8,2.3,16.9
Grant Williams,PF,22,BOS,29,6,18.4,1.9,4.0,.462,0.9,2.1,.419,1.0,1.9,.509,.573,0.5,1.0,.517,1.0,2.0,3.0,0.9,0.5,0.4,0.9,2.8,5.1
Kenrich Williams,PF,26,OKC,38,6,19.1,2.7,4.8,.555,0.6,1.4,.396,2.1,3.4,.620,.613,0.4,0.8,.552,1.3,2.7,3.9,1.7,0.8,0.2,0.9,1.8,6.3
Lou Williams,PG,34,LAC,36,3,22.4,4.5,10.6,.428,1.1,2.8,.400,3.4,7.8,.438,.480,2.4,2.8,.860,0.4,1.9,2.3,3.7,0.9,0.1,1.6,1.0,12.6
Patrick Williams,PF,19,CHI,35,35,28.3,3.7,7.9,.464,0.9,2.3,.400,2.8,5.7,.490,.522,1.5,1.9,.779,0.9,3.7,4.6,1.2,0.7,0.7,1.5,2.2,9.8
Robert Williams,C,23,BOS,30,0,16.1,3.0,4.2,.706,0.0,0.0,.000,3.0,4.2,.712,.706,0.8,1.3,.641,2.3,3.5,5.8,1.2,0.9,1.6,0.9,1.8,6.8
Zion Williamson,PF,20,NOP,36,36,32.6,9.8,16.0,.614,0.2,0.5,.316,9.6,15.4,.624,.619,5.7,8.2,.693,2.8,4.4,7.1,3.3,0.9,0.7,2.5,2.4,25.5
D.J. Wilson,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
Dylan Windler,SF,24,CLE,23,0,18.9,2.2,4.9,.455,1.0,2.9,.348,1.2,2.0,.609,.558,0.9,1.1,.808,0.8,3.3,4.1,1.2,0.7,0.4,1.0,1.3,6.3
Justise Winslow,SF,24,MEM,8,0,22.3,3.9,10.4,.373,0.4,2.4,.158,3.5,8.0,.438,.392,0.9,1.5,.583,0.9,4.8,5.6,2.3,0.4,0.8,1.5,2.8,9.0
Cassius Winston,PG,22,WAS,7,0,7.1,0.7,1.6,.455,0.6,1.1,.500,0.1,0.4,.333,.636,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.1,0.1,0.6,2.3
James Wiseman,C,19,GSW,27,17,20.5,4.9,9.4,.520,0.4,1.0,.393,4.5,8.4,.535,.541,1.7,2.7,.616,1.4,4.6,6.0,0.6,0.3,1.0,1.5,3.1,11.9
Christian Wood,C,25,HOU,17,17,31.2,8.8,15.7,.558,1.9,4.5,.421,6.9,11.2,.613,.618,2.6,3.8,.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22.0
Robert Woodard,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
Delon Wright,SG,28,DET,31,26,29.1,3.8,8.0,.470,1.0,2.5,.392,2.8,5.5,.506,.532,2.0,2.6,.778,1.1,3.5,4.5,4.8,1.4,0.5,1.2,1.2,10.6
Thaddeus Young,PF,32,CHI,32,0,25.1,5.6,9.3,.605,0.2,0.7,.227,5.4,8.6,.635,.613,0.8,1.5,.531,2.5,3.6,6.1,4.3,1.3,0.6,1.9,2.6,12.2
Trae Young,PG,22,ATL,36,36,34.7,7.8,18.1,.433,2.6,6.7,.380,5.3,11.4,.465,.504,8.5,9.8,.872,0.7,3.4,4.1,9.3,0.9,0.3,4.4,2.1,26.7
Cody Zeller,C,28,CHO,20,17,23.5,4.1,7.9,.522,0.2,1.0,.158,4.0,6.9,.572,.532,1.6,2.1,.780,2.6,5.0,7.5,2.3,0.7,0.6,1.1,2.5,10.0
Ivica Zubac,C,23,LAC,39,1,19.7,3.1,4.7,.659,0.0,0.0,.000,3.1,4.7,.663,.659,1.9,2.4,.826,2.4,4.5,6.9,1.1,0.4,0.8,1.0,2.5,8.2
